RazaoSocial;Municipio;UF;DescNaturezaJuridica;DataAbertura;IdadeEmp;PorteEmpresa;DS_ITCP_TP_MATERIAL_SERVICO;ANO_EMPENHO;VL_EMPENHADO
GLOBO MAQUINAS E SUPRIMENTOS LTDA;GOIÂNIA;GO;Sociedade Empresária Limitada;30/03/1999;22;EMPRESA DE PEQUENO PORTE;Material;2018;6135.00
GLOBO VISION COMERCIO E SERVICO LTDA;BOA VISTA;RR;Sociedade Empresária Limitada;31/10/2002;19;NÃO INFORMADO;Material;2018;38405.39
GLOBO VISION COMERCIO E SERVICO LTDA;BOA VISTA;RR;Sociedade Empresária Limitada;31/10/2002;19;NÃO INFORMADO;Material;2019;7907.00
GMAES TELECOM LTDA;ITAJAÍ;SC;Sociedade Empresária Limitada;29/05/2012;9;NÃO INFORMADO;Serviço;2018;581190.87
GO VENDAS ELETRONICAS EIRELI;LAGES;SC;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);02/03/2020;1;EMPRESA DE PEQUENO PORTE;Material;2020;1500.00
GOL COMERCIAL EIRELI;GAROPABA;SC;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);27/12/2011;10;EMPRESA DE PEQUENO PORTE;Material;2018;124327.04
GOLD DISTRIBUIDORA DE PRODUTOS DE LIMPEZA LTDA;PALMAS;TO;Sociedade Empresária Limitada;14/06/2018;3;NÃO INFORMADO;Material;2019;2968.85
GOLDEN DISTRIBUIDORA LTDA.;SERRA;ES;Sociedade Empresária Limitada;14/12/2000;21;DEMAIS;Serviço;2020;199.25
GONCALVES & P LOPES LTDA;MARINGÁ;PR;Sociedade Empresária Limitada;01/09/1976;45;EMPRESA DE PEQUENO PORTE;Material;2018;103.88
GONCALVES & P LOPES LTDA;MARINGÁ;PR;Sociedade Empresária Limitada;01/09/1976;45;EMPRESA DE PEQUENO PORTE;Material;2019;2099.48
GOULARTE SERVICOS ELETRONICOS LTDA;FLORIANÓPOLIS;SC;Sociedade Empresária Limitada;06/08/1998;23;NÃO INFORMADO;Serviço;2018;2600.00
GOVERNANCE TECHNOLOGY ASSESSORIA E CONSULTORIA EM INFORMATICA E GOVERNANCA CORPORATIVA EIRELI;BRASÍLIA;DF;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);28/01/2005;16;EMPRESA DE PEQUENO PORTE;Serviço;2018;231120.00
GP CABLING DISTRIBUIDORA E COMERCIO LTDA;VILA VELHA;ES;Sociedade Empresária Limitada;19/03/2018;3;DEMAIS;Material;2020;1855.78
GP TRADE COMPANY ELETRONICOS IMPORTACAO E EXPORTACAO LTDA;SERRA;ES;Sociedade Empresária Limitada;12/07/2013;8;EMPRESA DE PEQUENO PORTE;Material;2020;145896.91
GPS - AGRIMENSORA - EIRELI;SÃO PAULO;SP;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);21/01/2005;16;EMPRESA DE PEQUENO PORTE;Material;2019;49389.00
GPS GLOBAL PROJETOS E SISTEMAS - EIRELI;BRASÍLIA;DF;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);21/07/1994;27;DEMAIS;Serviço;2018;2162237.69
GPS GLOBAL PROJETOS E SISTEMAS - EIRELI;BRASÍLIA;DF;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);21/07/1994;27;DEMAIS;Serviço;2019;170198.40
GR COMERCIO EIRELI;CONTAGEM;MG;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);22/01/2013;8;EMPRESA DE PEQUENO PORTE;Material;2018;55504.75
GR COMERCIO EIRELI;CONTAGEM;MG;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);22/01/2013;8;EMPRESA DE PEQUENO PORTE;Material;2019;6649.91
GR3 PAPELARIA E LIVRARIA LTDA;JOÃO PESSOA;PB;Sociedade Empresária Limitada;26/10/2012;9;EMPRESA DE PEQUENO PORTE;Serviço;2018;1780.00
GRADUAL TELEINFORMATICA EIRELI;NATAL;RN;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);14/06/2010;11;NÃO INFORMADO;Material;2018;142116.89
GRAFICA E EDITORA VITORIA LTDA;MANAUS;AM;Sociedade Empresária Limitada;13/02/2003;18;NÃO INFORMADO;Material;2019;1378.14
GRAFICPAPER COMERCIO E SERVICOS EIRELI;BRASÍLIA;DF;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);15/03/2017;4;NÃO INFORMADO;Material;2019;5201.62
GRANDE CASA ACABAMENTOS E COMERCIO DE MATERIAIS DE CONSTRUCAO LTDA;LONDRINA;PR;Sociedade Empresária Limitada;19/12/2014;7;EMPRESA DE PEQUENO PORTE;Material;2018;12248.93
GRANDE CASA ACABAMENTOS E COMERCIO DE MATERIAIS DE CONSTRUCAO LTDA;LONDRINA;PR;Sociedade Empresária Limitada;19/12/2014;7;EMPRESA DE PEQUENO PORTE;Material;2019;1019.28
GRAPHISOFT BRASIL SERVICOS DE TECNOLOGIA DA INFORMACAO LTDA.;SÃO PAULO;SP;Sociedade Empresária Limitada;03/08/2015;6;DEMAIS;Serviço;2019;142000.00
EXATA PAPELARIA EIRELI;PONTA PORÃ;MS;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);31/01/1996;25;NÃO INFORMADO;Material;2018;4996.00
EXCELER BRASIL SERVICOS E COMERCIO DE INSTALACOES LOGICAS E ELETRICAS EIRELI;PORTO ALEGRE;RS;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);01/03/2002;19;EMPRESA DE PEQUENO PORTE;Serviço;2018;183390.60
EXCELER BRASIL SERVICOS E COMERCIO DE INSTALACOES LOGICAS E ELETRICAS EIRELI;PORTO ALEGRE;RS;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);01/03/2002;19;EMPRESA DE PEQUENO PORTE;Serviço;2019;149302.47
EXPEL N S PAPEIS E PLASTICOS LTDA;CAMPOS DOS GOYTACAZES;RJ;Sociedade Empresária Limitada;20/02/1998;23;NÃO INFORMADO;Material;2019;3200.00
EXPERT COMPUTADORES - COMERCIO DE EQUIPAMENTOS DE INFORMATICA LTDA;CACHOEIRA DO SUL;RS;Sociedade Empresária Limitada;17/02/2011;10;EMPRESA DE PEQUENO PORTE;Material;2019;1874.00
EXPERTS INFORMATICA EIRELI;BELO HORIZONTE;MG;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);12/12/1994;27;EMPRESA DE PEQUENO PORTE;Serviço;2019;6318.00
EXPRESSAO EQUIPAMENTOS DE INFORMATICA  EIRELI;SÃO PAULO;SP;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);22/01/2019;2;NÃO INFORMADO;Material;2020;5770.50
EXTINTORES E HIDRANTES LTDA;MONTES CLAROS;MG;Sociedade Empresária Limitada;30/09/2008;13;NÃO INFORMADO;Material;2018;0.00
EXTRAINK IMPORTADORA E DISTRIBUIDORA DE EQUIPAMENTOS EIRELI;GUARULHOS;SP;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);20/11/2000;21;EMPRESA DE PEQUENO PORTE;Material;2018;128254.44
EXTRAINK IMPORTADORA E DISTRIBUIDORA DE EQUIPAMENTOS EIRELI;GUARULHOS;SP;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);20/11/2000;21;EMPRESA DE PEQUENO PORTE;Material;2019;24670.40
F B GERA & CIA LTDA;PEDREIRA;SP;Sociedade Empresária Limitada;22/11/2006;15;EMPRESA DE PEQUENO PORTE;Material;2018;1.00
F B GERA & CIA LTDA;PEDREIRA;SP;Sociedade Empresária Limitada;22/11/2006;15;EMPRESA DE PEQUENO PORTE;Material;2019;18813.02
F E S LIMA BARBOSA;BOA VISTA;RR;Empresário (Individual);12/03/2010;11;NÃO INFORMADO;Serviço;2020;5000.00
F J A COSTA EIRELI;MANAUS;AM;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);15/03/2006;15;EMPRESA DE PEQUENO PORTE;Serviço;2019;16663.32
F. A. IMPORTACAO E COMERCIO SUPRIMENTOS PARA INFORMATICA LTDA;MARINGÁ;PR;Sociedade Empresária Limitada;27/04/2016;5;NÃO INFORMADO;Material;2020;6463.00
F5 SOFTWARE LTDA;SÃO PAULO;SP;Sociedade Empresária Limitada;27/05/2004;17;DEMAIS;Serviço;2018;29270.13
F9C SECURITY LTDA;BRASÍLIA;DF;Sociedade Empresária Limitada;08/07/2015;6;DEMAIS;Serviço;2020;482949.00
FABIANE MARTINS MAZUCO;PORTO ALEGRE;RS;Empresário (Individual);06/05/2003;18;NÃO INFORMADO;Material;2018;1750.00
FABIANO GASPAR TEIXEIRA 04446491660;BELO HORIZONTE;MG;Empresário (Individual);20/05/2010;11;NÃO INFORMADO;Material;2019;0.00
FABIO MENDES DIAS LTDA;POÇO FUNDO;MG;Sociedade Empresária Limitada;17/08/2000;21;NÃO INFORMADO;Serviço;2018;2220.00
FABIO MENDES DIAS LTDA;POÇO FUNDO;MG;Sociedade Empresária Limitada;17/08/2000;21;NÃO INFORMADO;Serviço;2019;2685.00
FABIO SOARES PINTO EIRELI;RIO GRANDE;RS;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);14/07/1993;28;EMPRESA DE PEQUENO PORTE;Material;2018;217160.00
FABIO SOARES PINTO EIRELI;RIO GRANDE;RS;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);14/07/1993;28;EMPRESA DE PEQUENO PORTE;Material;2019;18430.00
FABRICADOC SERVICOS ADMINISTRATIVOS LTDA;FORTALEZA;CE;Sociedade Empresária Limitada;12/06/2007;14;NÃO INFORMADO;Serviço;2020;17599.80
FABRICIO CARLO DO NASCIMENTO LEMOS ARAUJO 58813675291;CASTANHAL;PA;Empresário (Individual);15/05/2017;4;NÃO INFORMADO;Serviço;2018;7990.00
FABRICIO RACHADEL COSTA;SÃO JOSÉ;SC;Empresário (Individual);14/05/2019;2;NÃO INFORMADO;Material;2020;10637.46
FABRIL GRAFICA E MALHARIA LTDA;SÃO LUÍS;MA;Sociedade Empresária Limitada;04/10/2016;5;NÃO INFORMADO;Material;2019;0.00
FACIL SISTEMAS E SERVICOS LTDA;GUANHÃES;MG;Sociedade Empresária Limitada;12/02/2010;11;NÃO INFORMADO;Serviço;2019;16770.45
FEDERAL SOLUTIONS SOLUCOES TECNOLOGICAS LTDA;BRASÍLIA;DF;Sociedade Empresária Limitada;26/03/2007;14;NÃO INFORMADO;Material;2020;131524.13
FELIPE COSTA DE OLIVEIRA FREITAS 18138729708;RIO DE JANEIRO;RJ;Empresário (Individual);03/11/2019;2;NÃO INFORMADO;Serviço;2020;6939.00
FERGAVI COMERCIAL LTDA;SÃO PAULO;SP;Sociedade Empresária Limitada;20/01/2012;9;EMPRESA DE PEQUENO PORTE;Material;2018;0.00
FERNANDO ANTONIO SILVA SOUZA;SALVADOR;BA;Empresário (Individual);17/01/2007;14;NÃO INFORMADO;Material;2018;4292.00
FERNANDO ANTONIO SILVA SOUZA;SALVADOR;BA;Empresário (Individual);17/01/2007;14;NÃO INFORMADO;Material;2019;300.00
FERREIRA & VAZ SERVICOS, BAZAR E COMERCIO LTDA;RIO DE JANEIRO;RJ;Sociedade Empresária Limitada;04/10/2013;8;NÃO INFORMADO;Material;2018;39803.00
FERREIRA DE CARVALHO E CARVALHO LTDA;CÁCERES;MT;Sociedade Empresária Limitada;10/01/2000;21;EMPRESA DE PEQUENO PORTE;Material;2018;680.00
FERREIRA E ROZANSKI LTDA;PATO BRANCO;PR;Sociedade Empresária Limitada;14/06/2004;17;EMPRESA DE PEQUENO PORTE;Material;2018;840.00
FGTEC INFORMATICA EIRELI;PORTO ALEGRE;RS;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);30/03/1999;22;NÃO INFORMADO;Material;2018;6393.00
FGTECH INFORMATICA LTDA;CAPISTRANO;CE;Sociedade Empresária Limitada;12/05/2009;12;NÃO INFORMADO;Serviço;2019;900.00
FIBRACEM TELEINFORMATICA LTDA;PINHAIS;PR;Sociedade Empresária Limitada;29/07/1997;24;DEMAIS;Material;2018;4300.00
FICOL COMERCIO ATACADISTA DE PRODUTOS LABORATORIAIS E HOSPITALARES LTDA;JOÃO PESSOA;PB;Sociedade Empresária Limitada;27/02/2015;6;NÃO INFORMADO;Material;2018;1580.50
FIDELITY AUTO CENTER EIRELI;CUIABÁ;MT;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);04/09/2013;8;NÃO INFORMADO;Material;2018;33.00
FILIPEFLOP COMPONENTES ELETRONICOS EIRELI;FLORIANÓPOLIS;SC;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);15/10/2010;11;EMPRESA DE PEQUENO PORTE;Material;2019;17834.00
KOPELL DISTRIBUICAO E LOGISTICA LTDA;SÃO PAULO;SP;Sociedade Empresária Limitada;23/01/2014;7;DEMAIS;Material;2018;19941.40
KOPELL DISTRIBUICAO E LOGISTICA LTDA;SÃO PAULO;SP;Sociedade Empresária Limitada;23/01/2014;7;DEMAIS;Material;2019;377.50
KTECH LTDA;SANTANA;AP;Sociedade Empresária Limitada;30/10/2013;8;EMPRESA DE PEQUENO PORTE;Serviço;2020;68970.00
KWEB SERVICOS DE CERTIFICACAO DIGITAL LTDA;VARGINHA;MG;Sociedade Empresária Limitada;11/09/2014;7;NÃO INFORMADO;Serviço;2020;325.00
L & A COMERCIO E SERVICOS LTDA;SÃO PAULO;SP;Sociedade Empresária Limitada;14/07/2006;15;DEMAIS;Material;2020;5120.00
L C L COMERCIO DE ALVOS LTDA.;SÃO CAETANO DO SUL;SP;Sociedade Empresária Limitada;29/02/1996;25;EMPRESA DE PEQUENO PORTE;Material;2020;1030.40
L C MOREIRA SUPRIMENTOS DE INFORMATICA EIRELI;VOLTA REDONDA;RJ;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);16/12/2003;18;EMPRESA DE PEQUENO PORTE;Material;2020;12038.60
L DA R SILVA COMERCIANTE VAREJISTA;SALVADOR;BA;Empresário (Individual);22/02/2018;3;NÃO INFORMADO;Material;2020;73944.00
L&M SOLUCOES TECNOLOGICAS EM INFORMATICA EIRELI;BRASÍLIA;DF;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);14/10/2019;2;NÃO INFORMADO;Material;2020;15959.24
L. O. INOVACAO E TECNOLOGIA LTDA;ALEGRE;ES;Sociedade Empresária Limitada;16/11/2009;12;EMPRESA DE PEQUENO PORTE;Material;2018;4003.80
L.F.L. ASSESSORIA EMPRESARIAL LTDA;PORTO ALEGRE;RS;Sociedade Empresária Limitada;02/06/2009;12;NÃO INFORMADO;Material;2018;184.98
L.M.K. COMERCIO E SERVICOS TECNOLOGICOS EIRELI;SÃO PAULO;SP;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);03/03/2017;4;EMPRESA DE PEQUENO PORTE;Material;2019;0.00
L.S. SYSTEMS CONSULTORIA LTDA.;SÃO LUÍS;MA;Sociedade Empresária Limitada;17/10/2011;10;NÃO INFORMADO;Material;2020;272.98
L.S.C. DA SILVA PRADO;MANAUS;AM;Empresário (Individual);18/01/2008;13;NÃO INFORMADO;Material;2019;10257.20
L3 SOFTWARE LTDA;SÃO BERNARDO DO CAMPO;SP;Sociedade Empresária Limitada;10/04/2014;7;DEMAIS;Material;2020;2954.43
L8 GROUP S/A;CURITIBA;PR;Sociedade Anônima Fechada;17/03/2014;7;DEMAIS;Material;2019;3750000.00
LA BELLA INFORMATICA E TECNOLOGIA LTDA;BRASÍLIA;DF;Sociedade Empresária Limitada;27/10/1993;28;NÃO INFORMADO;Material;2018;729875.16
LAB VISION - COMERCIO DE PRODUTOS LABORATORIAIS LTDA;CURITIBA;PR;Sociedade Empresária Limitada;21/10/2019;2;NÃO INFORMADO;Material;2019;3337.28
LABWARE BRASIL SERVICOS DE INFORMATICA LTDA;SÃO PAULO;SP;Sociedade Empresária Limitada;03/12/2010;11;DEMAIS;Serviço;2018;84340.00
LADO A LADO INFO LTDA;VENDA NOVA DO IMIGRANTE;ES;Sociedade Empresária Limitada;20/05/2011;10;NÃO INFORMADO;Serviço;2019;1108.00
LAERCIO DE LIMA LOPES 00171191544;PICOS;PI;Empresário (Individual);05/07/2017;4;NÃO INFORMADO;Material;2019;3200.00
LAGES FIGUEIROA LTDA;CABO DE SANTO AGOSTINHO;PE;Sociedade Empresária Limitada;18/08/1998;23;EMPRESA DE PEQUENO PORTE;Serviço;2018;6843.05
LAILA CATARINA DA SILVA GABRIEL VIANA 68403267215;BELÉM;PA;Empresário (Individual);31/08/2013;8;NÃO INFORMADO;Material;2018;2794.60
LAILA CATARINA DA SILVA GABRIEL VIANA 68403267215;BELÉM;PA;Empresário (Individual);31/08/2013;8;NÃO INFORMADO;Material;2019;9575.00
LANCE ONLINE COMERCIO DE AROMATIZANTES, ARTIGOS DE DECORACAO, MAQUINAS INDUSTRIAIS E LOCACAO DE AUTOMOVEIS LTDA;DOURADOS;MS;Sociedade Empresária Limitada;14/02/2013;8;EMPRESA DE PEQUENO PORTE;Material;2018;328.89
LAND QUIMICA INDUSTRIA E COMERCIO LTDA;RIO DE JANEIRO;RJ;Sociedade Empresária Limitada;19/12/1986;35;EMPRESA DE PEQUENO PORTE;Material;2018;3465.00
LANTELE COMERCIAL ELETRICA LTDA;RIO DE JANEIRO;RJ;Sociedade Empresária Limitada;07/08/1996;25;DEMAIS;Material;2019;1759.50
LANTYX TECNOLOGIA E PUBLICIDADE EIRELI;SÃO PAULO;SP;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);01/11/2016;5;EMPRESA DE PEQUENO PORTE;Material;2020;7245.84
LANTYX TECNOLOGIA E PUBLICIDADE EIRELI;SÃO PAULO;SP;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);01/11/2016;5;EMPRESA DE PEQUENO PORTE;Serviço;2019;21251.18
LAPAHE SOLUCOES EM INFORMATICA LTDA;VALENÇA;RJ;Sociedade Empresária Limitada;27/09/2007;14;NÃO INFORMADO;Serviço;2018;5264.00
LAR E COZINHA COMERCIAL LTDA;GOIÂNIA;GO;Sociedade Empresária Limitada;05/12/2018;3;EMPRESA DE PEQUENO PORTE;Material;2020;3548.16
LARBAK SOLUCOES EMPRESARIAIS EIRELI;SÃO PAULO;SP;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);31/03/2008;13;NÃO INFORMADO;Material;2018;319.00
LARCS SYSTEM ASSISTENCIA TECNICA LTDA;SÃO GONÇALO;RJ;Sociedade Empresária Limitada;06/05/1999;22;NÃO INFORMADO;Serviço;2018;31048.00
LARCS SYSTEM ASSISTENCIA TECNICA LTDA;SÃO GONÇALO;RJ;Sociedade Empresária Limitada;06/05/1999;22;NÃO INFORMADO;Serviço;2019;22523.00
LASER NET ASSISTENCIA TECNICA LTDA;SÃO PAULO;SP;Sociedade Empresária Limitada;15/10/2004;17;NÃO INFORMADO;Serviço;2019;1240.00
LASER PRINT EIRELI;SÃO PAULO;SP;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);08/03/2018;3;NÃO INFORMADO;Material;2018;8041.48
LASER PRINT EIRELI;SÃO PAULO;SP;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);08/03/2018;3;NÃO INFORMADO;Material;2019;6860.68
LATAMSUL IMPORTACAO SERVICOS E COMERCIO DE ELETRONICOS LTDA.;SÃO PAULO;SP;Sociedade Empresária Limitada;18/11/2015;6;NÃO INFORMADO;Material;2018;5289.00
LATAMSUL IMPORTACAO SERVICOS E COMERCIO DE ELETRONICOS LTDA.;SÃO PAULO;SP;Sociedade Empresária Limitada;18/11/2015;6;NÃO INFORMADO;Serviço;2020;26349.00
LAURO RENATO ROCHA LIMA;PORTO ALEGRE;RS;Empresário (Individual);17/12/1999;22;EMPRESA DE PEQUENO PORTE;Serviço;2018;95947.74
LAYER TECNOLOGIA DA INFORMACAO LTDA;BRASÍLIA;DF;Sociedade Empresária Limitada;28/02/2002;19;DEMAIS;Material;2018;6086106.59
LAYER TECNOLOGIA DA INFORMACAO LTDA;BRASÍLIA;DF;Sociedade Empresária Limitada;28/02/2002;19;DEMAIS;Material;2019;14437210.62
LAYER TECNOLOGIA DA INFORMACAO LTDA;BRASÍLIA;DF;Sociedade Empresária Limitada;28/02/2002;19;DEMAIS;Serviço;2020;3492435.56
LBR SOLUCOES EM TECNOLOGIA EIRELI;RIO DE JANEIRO;RJ;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);11/11/2015;6;EMPRESA DE PEQUENO PORTE;Material;2018;466513.08
PBI INFORMATICA LTDA;PORTO ALEGRE;RS;Sociedade Empresária Limitada;26/06/2001;20;DEMAIS;Serviço;2019;444305.43
PD INSTRUMENTOS PARA PESQUISA E DESENVOLVIMENTO LTDA;JARINU;SP;Sociedade Empresária Limitada;17/07/2012;9;EMPRESA DE PEQUENO PORTE;Material;2020;0.00
PEARSON EDUCATION DO BRASIL LTDA;LOUVEIRA;SP;Sociedade Empresária Limitada;05/08/1996;25;DEMAIS;Material;2020;280184.98
PEARSON EDUCATION DO BRASIL LTDA;LOUVEIRA;SP;Sociedade Empresária Limitada;05/08/1996;25;DEMAIS;Serviço;2020;2168684.63
PEDRO CESAR BORGES RAMOS;POUSO ALEGRE;MG;Empresário (Individual);10/11/2008;13;EMPRESA DE PEQUENO PORTE;Material;2018;4882.50
PEDRO LUCAS CHARAO;CACHOEIRINHA;RS;Empresário (Individual);30/01/2019;2;NÃO INFORMADO;Material;2019;5348.90
PEIGON PRODUCOES CULTURAIS EIRELI;BRASÍLIA;DF;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);26/04/2007;14;NÃO INFORMADO;Serviço;2018;1450.00
PELIKAN NET LTDA;JI-PARANÁ;RO;Sociedade Empresária Limitada;19/07/2011;10;NÃO INFORMADO;Serviço;2019;0.00
PELTIER COMERCIO E INDUSTRIA LTDA;BARUERI;SP;Sociedade Empresária Limitada;25/04/1990;31;DEMAIS;Serviço;2020;58808.42
PERATTO REVENDA DE SUPRIMENTOS DE INFORMATICA LTDA;PORTO ALEGRE;RS;Sociedade Empresária Limitada;27/04/2006;15;EMPRESA DE PEQUENO PORTE;Material;2020;3760.50
PEREIRA E BEZA ENERGIA ELETRICA LTDA;CURITIBA;PR;Sociedade Empresária Limitada;05/10/2017;4;NÃO INFORMADO;Serviço;2019;14420.00
PERFIL COMPUTACIONAL LTDA;CURITIBA;PR;Sociedade Empresária Limitada;17/07/2017;4;DEMAIS;Material;2020;6145128.50
PERFIL COMPUTACIONAL LTDA;SERRA;ES;Sociedade Empresária Limitada;03/03/2020;1;DEMAIS;Serviço;2020;56500.00
PERFIL SUPRIMENTOS INDUSTRIAIS LTDA;RECIFE;PE;Sociedade Empresária Limitada;21/05/2010;11;NÃO INFORMADO;Material;2018;0.00
PERFORMATICA COMPUTACAO E COMERCIO DE SISTEMAS LTDA;PORTO ALEGRE;RS;Sociedade Empresária Limitada;11/03/1986;35;EMPRESA DE PEQUENO PORTE;Serviço;2020;10185.12
PERKINELMER DO BRASIL LTDA.;SÃO PAULO;SP;Sociedade Empresária Limitada;13/12/1994;27;DEMAIS;Material;2020;12373.79
PERSONAL TECH EQUIPAMENTOS E SERVICOS DE INFORMATICA EIRELI;RIO GRANDE;RS;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);20/12/2006;15;NÃO INFORMADO;Material;2019;270.00
PEZZUTO TELECOM ASSISTENCIA TELEFONIA LTDA;RIBEIRÃO PRETO;SP;Sociedade Empresária Limitada;24/11/1988;33;NÃO INFORMADO;Material;2018;32609.20
PH & B COMERCIO E SERVICOS EIRELI;FORTALEZA;CE;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);23/12/2009;12;NÃO INFORMADO;Material;2018;7311.12
PHASE TECH COMERCIO E SERVICOS LTDA;SÃO PAULO;SP;Sociedade Empresária Limitada;08/10/2009;12;NÃO INFORMADO;Serviço;2019;500000.00
PHD TECHNOLOGY ASSISTENCIA TECNICA E SUPRIMENTOS LTDA;SÃO PAULO;SP;Sociedade Empresária Limitada;17/10/1991;30;NÃO INFORMADO;Serviço;2020;3670.00
PHELIPE E VASCONCELOS INFORMATICA EIRELI;CAMPINA GRANDE;PB;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);14/02/2013;8;NÃO INFORMADO;Material;2018;15758.00
PHILIPS MEDICAL SYSTEMS LTDA;VARGINHA;MG;Sociedade Empresária Limitada;28/12/2015;6;DEMAIS;Serviço;2018;36270.00
PHONOWAY SOLUCOES EM TELEINFORMATICA LTDA;SÃO PAULO;SP;Sociedade Empresária Limitada;19/10/1995;26;EMPRESA DE PEQUENO PORTE;Material;2018;119048.51
PHONOWAY SOLUCOES EM TELEINFORMATICA LTDA;SÃO PAULO;SP;Sociedade Empresária Limitada;19/10/1995;26;EMPRESA DE PEQUENO PORTE;Material;2019;414879.45
PIC INFORMATICA EIRELI;HORTOLÂNDIA;SP;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);22/06/1992;29;EMPRESA DE PEQUENO PORTE;Material;2018;5432.00
PINGUIM TELECOM E TECNOLOGIA EIRELI;MACAPÁ;AP;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);10/08/2001;20;NÃO INFORMADO;Material;2018;11438.00
PINPOINT TECNOLOGIA E PESQUISA EM SOFTWARE LTDA;SÃO PAULO;SP;Sociedade Empresária Limitada;04/11/2005;16;DEMAIS;Serviço;2019;4819.86
PIX MIDIA SOLUCOES EM TECNOLOGIA LTDA;ESTEIO;RS;Sociedade Empresária Limitada;18/09/2013;8;NÃO INFORMADO;Serviço;2018;840.00
PIX PROVEDOR DE INTERNET LTDA;TUTÓIA;MA;Sociedade Empresária Limitada;23/11/2012;9;NÃO INFORMADO;Serviço;2018;300.00
PLANETA NET TELECOM E SERVICOS LTDA;CRATEÚS;CE;Sociedade Empresária Limitada;21/01/2016;5;NÃO INFORMADO;Serviço;2019;8499.60
PLANSUL PLANEJAMENTO E CONSULTORIA EIRELI;FLORIANÓPOLIS;SC;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);21/09/1984;37;DEMAIS;Serviço;2019;941676.10
PLAST GOLDEN COMERCIO DE EMBALAGENS E FERRAMENTAS LTDA;SÃO PAULO;SP;Sociedade Empresária Limitada;01/02/2008;13;NÃO INFORMADO;Material;2020;574.40
PLASTTOTAL PLASTICOS INDUSTRIAIS - EIRELI;SÃO PAULO;SP;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);30/03/1993;28;DEMAIS;Material;2020;17600.00
PLAY-ID INFORMATICA EIRELI;SÃO PAULO;SP;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);06/04/2006;15;NÃO INFORMADO;Material;2019;4650.00
PLEIMEC SOLUTION - COMERCIO DE EQUIPAMENTOS TECNOLOGICOS LTDA;FORTALEZA;CE;Sociedade Empresária Limitada;18/03/2008;13;EMPRESA DE PEQUENO PORTE;Serviço;2020;429405.83
PLIM TELECOMUNICACOES LTDA;MONTES CLAROS;MG;Sociedade Empresária Limitada;02/10/2007;14;NÃO INFORMADO;Serviço;2020;14085.00
PLUGNET COMERCIO E REPRESENTACOES LTDA.;JOÃO PESSOA;PB;Sociedade Empresária Limitada;09/01/2001;20;DEMAIS;Material;2020;546092.00
PLUGNET COMERCIO E REPRESENTACOES LTDA.;RECIFE;PE;Sociedade Empresária Limitada;01/11/1997;24;DEMAIS;Material;2018;4418909.00
PNEUS MACHADO AUTO CENTER LTDA;FORMOSA;GO;Sociedade Empresária Limitada;01/07/2003;18;NÃO INFORMADO;Material;2019;0.00
POINT DO MILITAR CANTINAS E ALFAIATARIAS EIRELI;RIO DE JANEIRO;RJ;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);09/07/1999;22;NÃO INFORMADO;Material;2018;5700.00
